"word","n","sentiment"
"harry",5,"anger"
"harry",5,"negative"
"harry",5,"sadness"
"watch",4,"anticipation"
"watch",4,"fear"
"slut",3,"anger"
"slut",3,"disgust"
"slut",3,"negative"
"attention",2,"positive"
"forward",2,"positive"
"outrage",2,"anger"
"outrage",2,"disgust"
"outrage",2,"negative"
"riot",2,"anger"
"riot",2,"fear"
"riot",2,"negative"
"twitch",2,"negative"
"wait",2,"anticipation"
"wait",2,"negative"
"worth",2,"positive"
"amazingly",1,"joy"
"amazingly",1,"positive"
"amazingly",1,"surprise"
"ass",1,"negative"
"avalanche",1,"fear"
"avalanche",1,"negative"
"avalanche",1,"sadness"
"avalanche",1,"surprise"
"balanced",1,"positive"
"bottom",1,"negative"
"bottom",1,"sadness"
"bye",1,"anticipation"
"combat",1,"anger"
"combat",1,"fear"
"combat",1,"negative"
"community",1,"positive"
"controversy",1,"negative"
"cunning",1,"negative"
"cunning",1,"positive"
"enjoying",1,"anticipation"
"enjoying",1,"joy"
"enjoying",1,"positive"
"enjoying",1,"trust"
"excited",1,"anticipation"
"excited",1,"joy"
"excited",1,"positive"
"excited",1,"surprise"
"excited",1,"trust"
"fun",1,"anticipation"
"fun",1,"joy"
"fun",1,"positive"
"gang",1,"anger"
"gang",1,"fear"
"gang",1,"negative"
"gear",1,"positive"
"hog",1,"disgust"
"hog",1,"negative"
"insane",1,"anger"
"insane",1,"fear"
"insane",1,"negative"
"love",1,"joy"
"love",1,"positive"
"loving",1,"joy"
"loving",1,"positive"
"loving",1,"trust"
"magician",1,"surprise"
"murder",1,"anger"
"murder",1,"disgust"
"murder",1,"fear"
"murder",1,"negative"
"murder",1,"sadness"
"murder",1,"surprise"
"pretty",1,"anticipation"
"pretty",1,"joy"
"pretty",1,"positive"
"pretty",1,"trust"
"progression",1,"anticipation"
"progression",1,"joy"
"progression",1,"positive"
"progression",1,"sadness"
"progression",1,"trust"
"real",1,"positive"
"real",1,"trust"
"sly",1,"anger"
"sly",1,"disgust"
"sly",1,"fear"
"sly",1,"negative"
"start",1,"anticipation"
"stud",1,"positive"
"supporting",1,"positive"
"supporting",1,"trust"
"talk",1,"positive"
"team",1,"trust"
"true",1,"joy"
"true",1,"positive"
"true",1,"trust"
"warning",1,"fear"
"witch",1,"anger"
"witch",1,"disgust"
"witch",1,"fear"
"witch",1,"negative"
